Driven_four_above,Worried_rising_covid,Vulnerable,@3.Pleaseexplainthemainreasonsforyouranswer,@4.KindlyanswerthefollowingcommonstatementsaboutCovid19,Origination_virus,Spread_human_human,Symptoms,Virus_airborn,Develop_severe_cases,No_vaccine,Wash_hands,Cover_nose_mouth,Eating_bushmeat,Isolation,Contact_infected_person,Avoid_crowd,Lock_down,Social_distancing,Nose_mask,No_mask_no_entry,Proper_handwashing,Passenger_details,TOTALSCORE,Knowledge_group,Ghana_fight_covid,Confidence,@4c.KindlyanswerthefollowingcommonstatementsaboutCovid19,Crowded_place,Travelled_public,Recently_wash_sanitized,Wear_mask,Location,Gender,Age,30-39,Prmiary,8,Marrried,Islam,6,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,14,High,Yes,No, ,No,No,No,Yes,Kumasi,Male,37,30-39,JSS/JHS/Mid. School,11,Marrried,Christian,4,Uber
Yes,"Yes, but not as it was in March 2020",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,14,High,Yes,Yes, ,Yes,No,Yes,Yes,Kumasi,Male,38,30-39,SSS/SHS,14,Single,Christian,3,Bolt
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,14,High,Yes,Yes, ,No,Yes,Yes,Yes,Kumasi,Male,39,30-39,Tertiary,16,Marrried,Islam,4,Bolt
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,14,High,No,No, ,Yes,Yes,Yes,Yes,Kumasi,Male,39,40 & above,Tertiary,16,Marrried,Christian,5,Uber
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,14,High,No,No, ,Yes,Yes,Yes,Yes,Kumasi,Male,40,40 & above,SSS/SHS,14,Marrried,Christian,6,Bolt
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,14,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,40,40 & above,Prmiary,6,Co-habiting (living with a partner but not married),Islam,7,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,Because  we don't know the health status of the people we meet, ,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,14,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,42,40 & above,Tertiary,16,Marrried,Christian,14,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,Through the exchange of money, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,14,High,Yes,Yes, ,No,No,No,No,Kumasi,Male,47,30-39,Tertiary,18,Marrried,Christian,4,Uber
Yes,"Yes, absolutely",Yes,If not wearing masks, ,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,4,Low,No,No, ,Yes,No,Yes,Yes,Accra,Male,38,30-39,Tertiary,17,Marrried,Islam,3,Bolt
Yes,"Yes, absolutely",Yes,Because right now you have the virus no support, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,36,18-29,SSS/SHS,14,Single,Christian,3,Bolt
Yes,"Yes, absolutely",Yes,Very contact with people, ,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,23,18-29,SSS/SHS,14,Single,Christian,12,Bolt
Yes,No,No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,24,18-29,JSS/JHS/Mid. School,11,Single,Christian,2,Uber
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,No,Accra,Male,25,18-29,Tertiary,16,Single,Christian,5,Uber
Yes,"Yes, but not as it was in March 2020",Yes,I am very vulnerable because most of the customers use physical cash and also they mostly do the wear their masks because they think it's not necessary, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,25,18-29,Tertiary,18,Single,Christian,5,Uber
Yes,"Yes, absolutely",Yes,Because I regularly contact with people, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,25,18-29,SSS/SHS,14,Single,Christian,4,Bolt
Yes,"Yes, absolutely",Yes,Customers status is unknown, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,25,18-29,SSS/SHS,14,Single,Christian,5,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,No,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,25,18-29,Tertiary,16,Single,Christian,7,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,Most of the customers prefer to pay in cash rather than using MoMo, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,No,No, ,Yes,Yes,Yes,Yes,Accra,Male,25,18-29,SSS/SHS,14,Single,Islam,1,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,No, ,No,No,Yes,Yes,Accra,Male,25,18-29,Voc./Tech./Commercial,17,Single,Islam,6,Bolt
Yes,"Yes, absolutely",Yes,Personal contacts, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,25,18-29,SSS/SHS,14,Single,Christian,4,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,26,18-29,SSS/SHS,14,Single,Christian,1,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,Am always moving around, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,26,18-29,SSS/SHS,14,Single,Christian,3,Bolt
Yes,"Yes, absolutely",Yes,Because am collecting monies, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,26,18-29,Tertiary,18,Single,Christian,1,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,I know I get infected, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,26,18-29,Tertiary,18,Single,Islam,3,Uber
Yes,"Yes, absolutely",No, , ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,26,18-29,SSS/SHS,14,Co-habiting (living with a partner but not married),Christian,2,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,26,18-29,Tertiary,16,Single,Christian,1,Uber
Yes,"Yes, but not as it was in March 2020",Yes,I know a colleague drive who was affected by the virus, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,No,Yes, ,No,No,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Christian,8,Yango
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,27,18-29,JSS/JHS/Mid. School,11,Single,Christian,2,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,I take into my car, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Christian,6,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,Do not know status of riders, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,Most of the customers pay me with cash, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Christian,2,Bolt
Yes,"Yes, absolutely",Yes,The virus is an airborne that is why am afraid, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,Yes,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Christian,2,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,Through cash transaction, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Christian,6,Bolt
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,27,18-29,Tertiary,18,Single,Christian,4,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,27,18-29,Tertiary,18,Single,Christian,1,Bolt
Yes,"Yes, absolutely",Yes,The virus is in the air, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,27,18-29,Tertiary,18,Single,Christian,5,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,"Cash exchange, touches, air in car", ,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,27,18-29,Tertiary,18,Single,Christian,1,Bolt
Yes,"Yes, absolutely",Yes,Always in town, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,27,18-29,SSS/SHS,14,Single,Islam,10,Bolt
Yes,"Yes, absolutely",Yes,Because getting in touch with different people, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,27,18-29,Tertiary,18,Marrried,Christian,4,Bolt
Yes,"Yes, absolutely",Yes,Because the virus is deadly, ,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,27,18-29,Tertiary,18,Single,Christian,8,Yango
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,No,Accra,Male,28,18-29,JSS/JHS/Mid. School,11,Single,Christian,12,Bolt
Yes,"Yes, absolutely",Yes,I don't have a thermometer gun to check passengers temperature. I am only protected by nose mask, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,28,18-29,JSS/JHS/Mid. School,11,Single,Christian,3,Bolt
Yes,"Yes, absolutely",Yes,I use my hands to collect money from people, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,28,18-29,SSS/SHS,14,Single,Christian,6,Bolt
Yes,"Yes, absolutely",Yes,I meet different people everyday, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,28,18-29,SSS/SHS,14,Single,Christian,6,Bolt
Yes,No,No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,28,18-29,SSS/SHS,14,Single,Christian,6,Bolt
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,No, ,Yes,No,Yes,Yes,Accra,Male,28,18-29,SSS/SHS,14,Single,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,Through interaction with passengers, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,28,18-29,SSS/SHS,14,Single,Christian,6,Bolt
Yes,"Yes, absolutely",Yes,Do not know status of riders, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,28,18-29,SSS/SHS,14,Single,Christian,3,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,28,18-29,SSS/SHS,14,Single,Christian,4,Bolt
Yes,"Yes, absolutely",Yes,BECAUSE I collect people money, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,28,18-29,Tertiary,17,Single,Christian,5,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,In the air, ,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,28,18-29,Tertiary,18,Single,Christian,4,Bolt
Yes,"Yes, absolutely",Yes,I come across different people whom I have no idea if they are carriers of COVID-19, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,28,18-29,Tertiary,18,Single,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,Money exchange, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,28,18-29,Prmiary,11,Single,Islam,3,Bolt
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,28,18-29,SSS/SHS,14,Single,Islam,4,Bolt
Yes,"Yes, absolutely",Yes,Most customers pay me cash, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,No, ,No,No,Yes,Yes,Accra,Male,28,18-29,SSS/SHS,14,Single,Islam,6,Bolt
Yes,No,No, , ,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,28,18-29,Tertiary,17,Single,Islam,12,Bolt
Yes,"Yes, absolutely",Yes,Some passengers enjoy sitting at the front seat, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,No, ,No,No,Yes,Yes,Accra,Male,28,18-29,Tertiary,18,Single,Christian,4,Uber
Yes,"Yes, absolutely",Yes,Most passengers think it's just the two of us so they don't put on the mask, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,29,18-29,JSS/JHS/Mid. School,11,Single,Christian,3,Bolt
Yes,"Yes, absolutely",Yes,Through the mask, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Christian,7,Bolt
Yes,No,Yes,I do not know the COVID-19 status of my riders, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,We  don't use all the PPEs, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Christian,3,Bolt
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,29,18-29,Voc./Tech./Commercial,14,Single,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,Do not know the status of users, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Christian,6,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Female,29,18-29,SSS/SHS,14,Single,Christian,6,Bolt
Yes,"Yes, absolutely",Yes,If they don't have sanitizer and nose masks, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,No,Yes,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Christian,3,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,Most customers prefer to pay in cash, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Christian,4,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,"Since I work with humans, then there is a possibility", ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Christian,14,Bolt
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Christian,1,Bolt
Yes,"Yes, absolutely",Yes,Am car moving with my car, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Christian,2,Bolt
Yes,"Yes, absolutely",Yes,Passenger can spread by coughing in the car, ,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,29,18-29,Voc./Tech./Commercial,17,Single,Christian,4,Bolt
Yes,"Yes, absolutely",Yes,Due to the closeness of seating, ,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Single,Islam,9,Uber
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,No, ,Yes,Yes,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Marrried,Christian,9,Uber
Yes,"Yes, but not as it was in March 2020",Yes,Some customers are so stubborn that they won't wear their masks even if you ask them to, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,29,18-29,JSS/JHS/Mid. School,11,Marrried,Christian,4,Bolt
Yes,"Yes, absolutely",Yes,When they take it off to make calls, ,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,15,High,No,No, ,Yes,Yes,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Marrried,Christian,6,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,No,No, ,No,No,Yes,Yes,Accra,Male,29,18-29,SSS/SHS,14,Marrried,Christian,4,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,No,Accra,Male,29,30-39,SSS/SHS,14,Single,Christian,3,Bolt
Yes,"Yes, absolutely",Yes,I meet lots of people, ,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,5,Low,Yes,Yes, ,No,No,No,Yes,Accra,Male,30,30-39,JSS/JHS/Mid. School,11,Single,Christian,10,Uber
